Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R11","2k2","R_0402_1005Metric",135.432500,-97.250000,0.000000,bottom
"R12","10k","R_0402_1005Metric",135.070000,-106.500000,180.000000,bottom
"R13","100k","R_0402_1005Metric",138.330000,-107.750000,0.000000,bottom
"R14","22k","R_0402_1005Metric",136.830000,-107.250000,90.000000,bottom
"R15","220R","R_0402_1005Metric",135.080000,-107.750000,0.000000,bottom
"R16","1k","R_0402_1005Metric",133.848000,-115.658000,90.000000,bottom
"R17","10k","R_0402_1005Metric",152.080000,-125.250000,-90.000000,bottom
"R18","1k","R_0402_1005Metric",175.330000,-118.000000,90.000000,bottom
"R19","47M","R_1206_3216Metric",157.330000,-127.750000,180.000000,bottom
"R20","4.7M","R_1206_3216Metric",150.080000,-128.750000,-90.000000,bottom
"R21","20M","R_1206_3216Metric",162.830000,-132.500000,180.000000,bottom
"R22","2M","R_1206_3216Metric",157.830000,-135.250000,180.000000,bottom
"R23","100k","R_1206_3216Metric",157.830000,-132.500000,180.000000,bottom
"R24","20M","R_1206_3216Metric",167.830000,-132.500000,180.000000,bottom
"R25","20M","R_1206_3216Metric",172.867500,-132.500000,180.000000,bottom
"R26","5k1","R_0402_1005Metric",158.080000,-93.750000,180.000000,bottom
"R27","5k1","R_0402_1005Metric",162.830000,-93.750000,0.000000,bottom
"R28","0R","R_0402_1005Metric",159.830000,-98.500000,-90.000000,bottom
"R29","0R","R_0402_1005Metric",160.830000,-98.500000,-90.000000,bottom
"R30","20M","R_1206_3216Metric",177.830000,-132.500000,180.000000,bottom
"R31","1M","R_1206_3216Metric",182.830000,-132.500000,0.000000,bottom
"R32","1M","R_1206_3216Metric",188.080000,-132.500000,0.000000,bottom
"R33","1M","R_1206_3216Metric",193.330000,-132.500000,0.000000,bottom
"R34","1M","R_1206_3216Metric",198.580000,-132.500000,0.000000,bottom
"R35","1k","R_0402_1005Metric",136.580000,-130.500000,0.000000,bottom
"R36","100k","R_1206_3216Metric",170.330000,-141.250000,0.000000,bottom
"R37","0R","R_0402_1005Metric",164.830000,-114.250000,-90.000000,bottom
"R38","1k","R_0402_1005Metric",178.155000,-154.575000,90.000000,bottom
"R39","10k","R_0402_1005Metric",146.538000,-150.158000,90.000000,bottom
